alias,name,cpf_cnpj,phone,email,addressable_type,addressable_id,alias_address,zip,street,number,details,district,city,state,country
AGP TECNOLOGIA EM INFORMATICA DO BRASIL LTDA.,AGP TECNOLOGIA EM INFORMATICA DO BRASIL LTDA.,11.068.167/0004-53,1155033588,CORPORATIVO.FISCAL@ACER.COM,supplier,,,13213090,RUA KANEBO,175,GALPAO: B3;,DISTRITO INDUSTRIAL,JUNDIAÍ,SP,BRASIL
AGROTAMA,NTS DO BRASIL COMERCIO DE MAQUINAS E FERRAMENTAS LTDA,05.984.457/0001-00,1150892595,fiscal@agrotama.com.br,supplier,,,9930270,AVENIDA PRESTES MAIA,811,,CENTRO,DIADEMA,SP,BRASIL
INFORE,A.L.R. PEREIRA COMERCIO ATACADISTA DE MAQUINAS E PECAS,31.888.692/0001-80,2122423782,NATALIA@INFORE.COM.BR,supplier,,,23092290,ESTRADA SERRA ALTA,127,LOT 4 OEX 127 PAL 46838,CAMPO GRANDE,RIO DE JANEIRO,RJ,BRASIL
ALLIED TECNOLOGIA,ALLIED TECNOLOGIA S.A.,20.247.322/0129-00,1155039999,alliedfiscal@alliedbrasil.com.br,supplier,,,14096350,AVENIDA PRESIDENTE KENNEDY,1500,Loja 237/239,RIBERIANA,RIBEIRÃO PRETO,SP,BRASIL
ALPHA CAMP,ALPHA CAMP COMERCIO ATACADISTA E VAREJISTA LTDA,42.184.956/0001-30,1992870083,ALPHAHOUSEN@GMAIL.COM,supplier,,,13065701,RUA SEBASTIAO PEDRO FRANCESCHINI,45,,PARQUE VIA NORTE,CAMPINAS,SP,BRASIL
ALUCOM.COM.BR,ALUCOM LTDA,01.628.251/0001-88,8532623191,ALUCOMFORTALEZA@GMAIL.COM,supplier,,,60175205,RUA RIACHUELO,40,,PAPICU,FORTALEZA,CE,BRASIL
ALUCOM DISTRIBUICAO,ALUCOM LTDA,01.628.251/0005-01,8588924681,DIRETORIA@ALUCOM.COM.BR,supplier,,,88075572,RUA TUPINAMBA,684,LOJA 1,CANTO/COLONINHA/JD ATLANT,FLORIANÓPOLIS,SC,BRASIL
AMAZON SERVICOS DE VAREJO DO BRASIL LTDA.,AMAZON SERVICOS DE VAREJO DO BRASIL LTDA.,15.436.940/0017-62,1141302000,AMZBR-TAX-COMPLIANCE@AMAZON.COM,supplier,,,54503010,RODOVIA BR 101 SUL,2608,,DISTRITO INDUSTRIAL SANTO ESTEVAO,CABO DE SANTO AGOSTINHO,PE,BRASIL
STR66 ECOMMERCE LTDA,STR66 ECOMMERCE LTDA,41.598.223/0001-80,1638390607,FISCAL@GARCIACONTABILIDADE1.COM.BR,supplier,,,14503230,RUA BRIGADEIRO JOSE VICENTE FARIA LIMA,192,SALA 2,CONJUNTO HABITACIONAL JOSE ALIPIO FURQUIM FONSECA,ITUVERAVA,SP,BRASIL
ANUSHA IMPORTS,ANUSHA COMERCIO IMPORTACAO E EXPORTACAO LTDA,15.809.110/0001-76,1120964610,ADMINISTRATIVO@ANUSHA.COM.BR,supplier,,,29055050,AVENIDA NOSSA SENHORA DA PENHA,250,SALA 602 EDIF CARAVELLE,SANTA HELENA,VITÓRIA,ES,BRASIL
APARECIDA CRISTINA RIBEIRO SILVA 28234361899,APARECIDA CRISTINA RIBEIRO SILVA 28234361899,35.939.512/0001-00,1888263394,ROGERIO.SSILVA@IG.COM.BR,supplier,,,19063180,RUA ANTONIO MATRICARDI SOBRINHO,368,,PARQUE SHIRAIWA,PRESIDENTE PRUDENTE,SP,BRASIL
ARDAIA & CIA LTDA,ARDAIA & CIA LTDA,16.878.740/0001-65,4432223036,TONER.FACIL@OUTLOOK.COM,supplier,,,87047240,RUA VITORIO SAMBATTI,349,,LOTEAMENTO LIBERDADE II PARTE,MARINGÁ,PR,BRASIL
ARENET ACESSORIOS,ARENET - COMERCIO VAREJISTA E ATACADISTA DE ELETRONICOS LTDA,56.379.323/0001-92,1197379167,CIANOTECHY15@GMAIL.COM,supplier,,,3031030,RUA ALEXANDRINO PEDROSO,168,TERREO0 SALA 08,CANINDÉ,SÃO PAULO,SP,BRASIL
AS SISTEMAS,AS SISTEMAS CONSULTORIA PUBLICA LTDA,63320667000191,8532714753,assistemasce@gmail.com,supplier,,,60821705,RUA PADRE JANUÁRIO CAMPOS,85,,PARQUE MANIBURA,FORTALEZA,CE,BRASIL
ATIVA COMERCIO DE CABOS E CONEXOES LTDA,ATIVA COMERCIO DE CABOS E CONEXOES LTDA,07.395.848/0001-06,1133623412,FINANCEIRO@SOLUCAOCABOS.COM.BR,supplier,,,1209000,RUA AURORA,140 B,,SANTA EFIGENIA,SÃO PAULO,SP,BRASIL
ATIVA DISTRIBUICAO,ATIVA DISTRIBUIDORA DE TECNOLOGIA LTDA,26.262.561/0001-52,1136518588,FISCAL@ATIVADISTRIBUICAO.COM.BR,supplier,,,29167650,RUA SAMUEL MEIRA BRASIL,394,SALA 27,TAQUARA II,SERRA,ES,BRASIL
AUTO PECAS PADRE CICERO,AUTO PECAS PADRE CICERO LTDA,07.965.809/0011-79,8534999000,CONTABILIDADE@PECICERO.COM.BR,supplier,,,60822131,AVENIDA OLIVEIRA PAIVA,2960,,CIDADE DOS FUNCIONARIOS,FORTALEZA,CE,BRASIL
AXIAL ELETRONICA,MAISA DE SOUZA FREITAS,08.797.481/0001-10,8532542382,,supplier,,,60035000,RUA PEDRO PEREIRA,804,,CENTRO,FORTALEZA,CE,BRASIL
BEACH TELECOM TELECOMUNICACOES LTDA.,BEACH TELECOM TELECOMUNICACOES LTDA.,45.832.665/0001-08,1396745007,CONTATOBEACHTELECOM@GMAIL.COM,supplier,,,11705610,RUA PROFESSORA MARIA JOSE BARONI F. DA SILVA,619,CASA 02,MARACANA,PRAIA GRANDE,SP,BRASIL
YUXISTA LTDA,BEB YEAR LTDA,48.110.269/0001-57,1116422603,BEBYEARLTDA@GMAIL.COM,supplier,,,1023001,RUA BR DE DUPRAT,223,LOJA LJ-36-A,CENTRO,SÃO PAULO,SP,BRASIL
BETIM QUIMICA LTDA.,BETIM QUIMICA LTDA.,38.701.645/0001-24,3103967989,,supplier,,,32371610,AVENIDA APIO CARDOSO,1305,,CINCO-PEROBAS,CONTAGEM,MG,BRASIL
ALPHA BABY,BICCI E GRECHI LTDA,29.142.469/0001-47,1598049453,BICCI@TBMCONTABILIDADE.COM.BR,supplier,,,18534234,RUA BELA VISTA,1316,GALPAODEPOSITO 2,VILA FIORE,TIETÊ,SP,BRASIL
BLUEVIX COMERCIO E SERVICO LTDA,BLUEVIX COMERCIO E SERVICO LTDA,39.272.778/0003-57,2721250337,ADMINISTRATIVO@BLUEVIX.COM.BR,supplier,,,29104491,RODOVIA DARLY SANTOS,800,GALPAO02-A SALA 01,JARDIM ASTECA,VILA VELHA,ES,BRASIL
BRASIL COLOR,BRASIL COLOR LTDA,48.947.090/0001-59,8599763180,NORDESTE.NACIONALCOLOR@HOTMAIL.COM,supplier,,,60192055,RUA BENTO ALBUQUERQUE,1633,LJ-11,COCO,FORTALEZA,CE,BRASIL
BRASIL INTER COMEX ELETRONICOS E INFORMATICA LTDA,BRASIL INTER COMEX ELETRONICOS E INFORMATICA LTDA,17.642.282/0007-19,1132230050,FISCAL@INPOWER.COM.BR,supplier,,,37642564,ESTRADA MUNICIPAL THEREZA THOMAZELLA,432,,DISTRITO INDUSTRIAL PIRES,EXTREMA,MG,BRASIL
INPOWER,BRASIL INTER COMEX ELETRONICOS E INFORMATICA LTDA,17.642.282/0001-23,1132230050,FISCAL@INPOWER.COM.BR,supplier,,,1209001,RUA AURORA,153,,SANTA EFIGENIA,SÃO PAULO,SP,BRASIL
BRJ SUPRIMENTOS PARA INFORMATICA LTDA,BRJ SUPRIMENTOS PARA INFORMATICA LTDA,30.612.497/0001-60,4430240222,FISCAL1@HANIELCONTABILIDADE.COM.BR,supplier,,,87025410,RUA ALLAN KARDEC,1151,SALA 01,PARQUE AVENIDA,MARINGÁ,PR,BRASIL
BROTHER,BROTHER INTERNATIONAL CORPORATION DO BRASIL LTDA,62.202.189/0001-52,1133713555,FISCAL@BROTHER.COM.BR,supplier,,,1310100,AVENIDA PAULISTA,854,ANDAR 15,BELA VISTA,SÃO PAULO,SP,BRASIL
BQS SUPRIMENTOS DE INFORMATICA,BRUNA QUEIROZ DE SOUZA LUZ,25.213.609/0001-70,1136284260,BQSSUPRIMENTOS@GMAIL.COM,supplier,,,3817090,RUA NORBERTO JOSE DE SOUZA,13,CASA 1,PARQUE CISPER,SÃO PAULO,SP,BRASIL
MULTIVERSO SHOP,CAIQUE ALENCAR DOS SANTOS LTDA,51.839.034/0001-05,1158708788,CAIQUEALENCAR1997@GMAIL.COM,supplier,,,9821045,TRAVESSA RACHEL DE QUEIROZ,41,,PARQUE BOTUJURU,SÃO BERNARDO DO CAMPO,SP,BRASIL
CALUNGA,CALUNGA COMERCIAL E SERVICOS LTDA,46.564.643/0001-69,2122222222,CALUNGAPIX@GMAIL.COM,supplier,,,21371240,RUA TURVO,00197,,IRAJA,RIO DE JANEIRO,RJ,BRASIL
CAMURA COMERCIO ONLINE,CAMURA COMERCIO ONLINE LTDA,35.517.239/0001-18,3491609995,DOFELLIPE@HOTMAIL.COM,supplier,,,38402320,AVENIDA DOUTOR ROFLES CECILIO,94,TERREOCOMERCIO 02,MARTA HELENA,UBERLÂNDIA,MG,BRASIL
CARREFOUR COMERCIO E INDUSTRIA LTDA,CARREFOUR COMERCIO E INDUSTRIA LTDA,45.543.915/0846-95,1137796000,ATENDIMENTO_FISCALIZACAO_TRIBUTOS@CARREFOUR.COM,supplier,,,7789100,VIA AC NORTE KM 38 (ROD ANHANGUERA),420,GALPAO7 MODULOS 4 E 5,EMPRESARIAL GATO PRETO (JORDANESIA),CAJAMAR,SP,BRASIL
CAS,CAS E-COMMERCE PRESENTES LTDA,51.916.824/0001-47,1187226936,CLARICEALBINA56@ICLOUD.COM,supplier,,,5509001,RUA ALVARENGA,806,,BUTANTÃ,SÃO PAULO,SP,BRASIL
CASA VERSATIL,UDMAX COMERCIO DE PRODUTOS DE BAZAR E DESCARTAVEIS LTDA,05.965.100/0001-76,2135206035,,supplier,,,21020190,RUA CONDE DE AGROLONGO,00332,,PENHA,RIO DE JANEIRO,RJ,BRASIL
GRUPO CASAS BAHIA S.A.,GRUPO CASAS BAHIA S.A.,33.041.260/1469-67,1142256555,SETORFISCAL.CSC@VIAVAREJO.COM.BR,supplier,,,60176065,RUA LAURO NOGUEIRA,1500,LOJA: 1150 PISO L1;,PAPICU,FORTALEZA,CE,BRASIL
CASSIO MURILO ANTONIO DE OLIVEIRA 01224443101,CASSIO MURILO ANTONIO DE OLIVEIRA 01224443101,36.414.426/0001-39,6192563488,CASSIO.MNB@GMAIL.COM,supplier,,,70640543,AREA ESPECIAL CENTRO COMERCIAL BLOCO D,20,,CRUZEIRO VELHO,BRASÍLIA,DF,BRASIL
CDMAX DISTRIBUIDORA E COMERCIAL LTDA EM RECUPERACAO JUDICIAL,CDMAX DISTRIBUIDORA E COMERCIAL LTDA EM RECUPERACAO JUDICIAL,10.237.888/0004-87,8532771019,FINANCEIRO@CDMAXDISTRIBUIDORA.COM.BR,supplier,,,60025130,RUA FLORIANO PEIXOTO,398,,CENTRO,FORTALEZA,CE,BRASIL
CDMAX SOLUTIONS,CDMAX DISTRIBUIDORA E COMERCIAL LTDA EM RECUPERACAO JUDICIAL,10.237.888/0005-68,8532410101,FINANCEIRO@CDMAXDISTRIBUIDORA.COM.BR,supplier,,,60025130,RUA FLORIANO PEIXOTO,398,A,CENTRO,FORTALEZA,CE,BRASIL
CECOMIL COMERCIO E SERVICOS LTDA EM RECUPERACAO JUDICIAL,CECOMIL COMERCIO E SERVICOS LTDA EM RECUPERACAO JUDICIAL,07792435/000165,8540125324,ATOSLEGAIS@TREINACON.NET,supplier,,,60150190,RUA MARCOS MACEDO,935,,ALDEOTA,FORTALEZA,CE,BRASIL
INTERTELE,CENTRAL PARANAENSE DE ASSISTENCIA TECNICA E COM DE TELEF LTDA,05.309.325/0001-74,4133452515,ADM.PR@INTERTELE.COM.BR,supplier,,,81050150,RUA DEPUTADO WALDEMIRO PEDROSO,372,,NOVO MUNDO,CURITIBA,PR,BRASIL
NAGEM INFORMATICA,CIL - COMERCIO DE INFORMATICA LTDA,24.073.694/0002-36,8121069051,FISCAL@NAGEM.COM.BR,supplier,,,41315000,RUA DOS FRANCISCANOS,392,OUTROS Q G L 16,DOM AVELAR,SALVADOR,BA,BRASIL
NAGEM,CIL - COMERCIO DE INFORMATICA LTDA,24.073.694/0005-89,8540055000,,supplier,,,60874401,RODOVIA QUARTO ANEL VIARIO,900,MODULO - 13B MODULO - 14B,PEDRAS,FORTALEZA,CE,BRASIL
CLARO,CLARO S.A.,40.432.544/0161-40,1143134620,ATENDIMENTO.FISCALIZACOES@CLARO.COM.BR,supplier,,,60135238,AVENIDA PONTES VIEIRA,1554,TERMINAL 1 TERREO,SAO JOAO DO TAUAPE,FORTALEZA,CE,BRASIL
COGRA DISTRIBUIDORA LTDA,COGRA DISTRIBUIDORA LTDA,06.064.114/0002-62,1128218928,THAIS.GRANDEZA@COGRA.COM.BR,supplier,,,29147030,RODOVIA GOVERNADOR MARIO COVAS,10600,GALPAO24 BOX 46,SERRA DO ANIL,CARIACICA,ES,BRASIL
COLETEK,"COLECAO INDUSTRIA E COMERCIO DE INFORMATICA, TELECOMUNICACOES E ELETRONICA LTDA",06.043.130/0001-98,3532199100,ANALISTA.FISCAL@COLETEK.COM.BR,supplier,,,37072003,AVENIDA DOUTOR MESSIAS BARROS,1300,: 1515;,DISTRITO INDUSTRIAL MIGUEL DE LUCA,VARGINHA,MG,BRASIL
COLORNET COMERCIO DE SUPRIMENTOS DE INFORMATICA LTDA,COLORNET COMERCIO DE SUPRIMENTOS DE INFORMATICA LTDA,42.221.535/0001-32,2164338875,INFORESENDE@BOL.COM.BR,supplier,,,21210153,AVENIDA VICENTE DE CARVALHO,01217,SAL 203,PENHA CIRCULAR,RIO DE JANEIRO,RJ,BRASIL
COLORSIGN,COLORSIGN COMERCIO IMPORTACAO E EXPORTACAO LTDA,35.250.478/0001-54,8396592200,,supplier,,,60440164,AVENIDA CARNEIRO DE MENDONCA,426,,DEMOCRITO ROCHA,FORTALEZA,CE,BRASIL
COMERCIAL BRASIL DISTRIBUIDORA DE EQUIPAMENTOS DE INFORMATICA LTDA,COMERCIAL BRASIL DISTRIBUIDORA DE EQUIPAMENTOS DE INFORMATICA LTDA,09.113.843/0006-83,8599224715,CONTABILIDADE@CBRASILLTDA.COM.BR,supplier,,,60025100,RUA MAJOR FACUNDO,1172,B,CENTRO,FORTALEZA,CE,BRASIL
COMERCIO E SERVICOS WS PREMIUM LTDA,COMERCIO E SERVICOS WS PREMIUM LTDA,57.484.241/0001-70,1199999999,COMERCIALWSPREMIUM@GMAIL.COM,supplier,,,3619100,AVENIDA SAO MIGUEL,2873,SALA 10,VILA MARIETA,SÃO PAULO,SP,BRASIL
COMPRA OK TECNOLOGIA LTDA,COMPRA OK TECNOLOGIA LTDA,41.342.413/0002-12,3191470008,FISCAL@COMPRAOK.COM.BR,supplier,,,32670360,RUA BRASILIA,79 A,LOTE 0007 - 79B,CHACARA,BETIM,MG,BRASIL
CONSTRUIASE MATERIAIS PARA CONSTRUCAO LTDA,CONSTRUIASE MATERIAIS PARA CONSTRUCAO LTDA,20.103.096/0001-20,1147851111,ATENDIMENTO@CONSTRUIASE.COM.BR,supplier,,,6780240,RUA RIO CLARO,228,,ARRAIAL PAULISTA,TABOÃO DA SERRA,SP,BRASIL
CONTINENTAL DISTRIBUIDORA DE SUPRIMENTOS PARA INFORMATICA E PRESTACAO DE SERVICOS LTDA,CONTINENTAL DISTRIBUIDORA DE SUPRIMENTOS PARA INFORMATICA E PRESTACAO DE SERVICOS LTDA,35.830.704/0001-76,1199999999,CONTINENTAL@GMAIL.COM,supplier,,,9780001,RUA TIRADENTES,802,SALA 27,SANTA TEREZINHA,SÃO BERNARDO DO CAMPO,SP,BRASIL
SOLUTION - COPIADORAS E SUPRIMENTOS,COSTA & COSTA COMERCIO VAREJISTA DE INFORMATICA LTDA,41.969.006/0001-59,1332235848,SOLUTIONCOPIADORAS@HOTMAIL.COM,supplier,,,11015540,RUA JULIO CONCEICAO,245,,VILA MATHIAS,SANTOS,SP,BRASIL
COURACO COMERCIAL LTDA,COURACO COMERCIAL LTDA,00.290.469/0004-55,2126420649,ADM@CONTROLCONT.COM.BR,supplier,,,5275000,VIA ANHANGUERA,S/N,KM 25.5 P.LATERAL SETOR PARTE C152,JARDIM JARAGUA,SÃO PAULO,SP,BRASIL
CREATIVE COPIAS LTDA,CREATIVE COPIAS LTDA,03.769.753/0003-16,6635209005,LUZIA@CREATIVECOPIAS.COM.BR,supplier,,,29161242,RUA PIRAJU,SN,LOTE 21B SALA 01,JACUHY,SERRA,ES,BRASIL
CROMA EQUIPAMENTOS,CROMA EQUIPAMENTOS E SERVICOS LTDA,11.855.692/0001-76,6130325599,FINANCEIRO@CROMATECNOLOGIA.COM.BR,supplier,,,72006180,RUA 5 CHACARA 116 LOTE,1E,LOJA 03 PARTE B,SETOR HABITACIONAL VICENTE PIRES,BRASÍLIA,DF,BRASIL
CRONOS SHOP,CRONOS COMERCIO DE ELETRONICOS DOMESTICOS LTDA,39.831.117/0003-14,4196869828,MEUCNPJ@CONTABILIZEI.COM.BR,supplier,,,5275000,VIA ANHANGUERA,S/N,KM 25.5 P. LATERAL 130 SETOR PARTE C901,JARDIM JARAGUA,SÃO PAULO,SP,BRASIL
CYBERNOTE,CYBERNOTE COMERCIO DE IMPORTACAO E EXPORTACAO LTDA,46.198.620/0001-88,1178455853,FISCAL@FEMPCONTABIL.COM.BR,supplier,,,2372080,RUA ROSALVO RIBEIRO,225,,TREMEMBE,SÃO PAULO,SP,BRASIL
MOB CORES,D P MOTA ADMINISTRACAO CORPORATIVA LTDA,33.517.709/0001-18,4141010027,CONTATO@MOBCORES.COM.BR,supplier,,,80810030,RUA FRIDA OERTEL,6,,MERCES,CURITIBA,PR,BRASIL
DANIGON COMERCIAL LTDA,DANIGON COMERCIAL LTDA,62.117.018/0001-25,1143644220,DANIGONCOM@GMAIL.COM,supplier,,,3165000,RUA DA MOOCA,3155,,MOOCA,SÃO PAULO,SP,BRASIL
DELL COMPUTADORES DO BRASIL LTDA,DELL COMPUTADORES DO BRASIL LTDA,72.381.189/0010-01,5132745500,BR_TAX@DELL.COM,supplier,,,13184654,AVENIDA DA EMANCIPACAO,5000,PARTE B,PARQUE DOS PINHEIROS,HORTOLÂNDIA,SP,BRASIL
DIAMOND BRASIL COMERCIAL IMPORTACAO E EXPORTACAO LTDA,DIAMOND BRASIL COMERCIAL IMPORTACAO E EXPORTACAO LTDA,04.998.692/0001-60,1155642600,FINANEIRO@DIAMONDBRASIL.COM,supplier,,,4303192,RUA DOUTOR MAURICIO DE LACERDA,535,,SAO JUDAS,SÃO PAULO,SP,BRASIL
DIGITAL INFORMATICA,DIGITAL INFORMATICA E LOCACOES LTDA,11.901.111/0001-95,1837027851,GERENTE@DIGITALMJ.COM.BR,supplier,,,16900005,RUA RODRIGUES ALVES,550,TERREO,CENTRO,ANDRADINA,SP,BRASIL
L.F. TECNOLOGIA E LOGISTICA LTDA,L.F. TECNOLOGIA E LOGISTICA LTDA,43.910.722/0001-96,1144402320,DISTRIBUIDORACOMERCIALLFERREIRA@GMAIL.COM,supplier,,,1452002,AVENIDA BRIGADEIRO FARIA LIMA,1461,ANDAR 4 SALA 40,JARDIM PAULISTANO,SÃO PAULO,SP,BRASIL
DISTRIBUIDORA VASCONCELOS,DISTRIBUIDORA VASCONCELOS & OLIVEIRA LTDA,17.112.922/0001-93,1932441348,ATENDIMENTO@DISTRIBUIDORAVASCONCELOS.NET.BR,supplier,,,13917176,RUA TESTA,101,,JARDIM SAO SEBASTIAO,JAGUARIÚNA,SP,BRASIL
DISTRIVISA,DISTRIVISA COMERCIO LOCACAO E SERVICOS S/A - EM RECUPERACAO JUDICIAL,02.338.962/0003-42,3134893400,LUCELIA@DISTRIVISA.COM.BR,supplier,,,29175706,RUA PORTO ALEGRE,307,SALA 49 GALPAO01 MOD 04 AREA UE-V COND THORLOG PARK LOGISTI,NOVA ZELANDIA,SERRA,ES,BRASIL
DM WEB COMERCIO,DM WEB COMERCIO LTDA,34.826.922/0001-74,6296601414,DANIELMESQUITAGO@GMAIL.COM,supplier,,,75390368,RUA I COM RUA VEREADOR JAIME DE OLIVEIRA,74,QUADRAH LOTE 01 SALA 02,VILA ROBERTO MONTEIRO,TRINDADE,GO,BRASIL
DMS ETIQUETAS,DMS ETIQUETAS LTDA,48.234.477/0001-68,1999517048,VENDASDMS@DMSETIQUETAS.COM.BR,supplier,,,14801533,AVENIDA NABOR RODRIGUES DOS SANTOS,26,,JARDIM DOS MANACAS,ARARAQUARA,SP,BRASIL
DMZ GLOBAL CONNECTION,DMZ INDUSTRIA E COMERCIO LTDA,18.929.699/0001-34,1148277289,MAZZEU@HOTMAIL.COM,supplier,,,9751470,RUA DOUTOR AMANCIO DE CARVALHO,676,,BAETA NEVES,SÃO BERNARDO DO CAMPO,SP,BRASIL
MOREIA TECNOLOGIA,DR SOFTWARE SERVICOS LTDA,03.420.933/0001-26,8532796968,COMERCIAL@MOREIA.COM.BR,supplier,,,61600160,TRAVESSA VISCONDE DE CAUIPE,72,,CENTRO,CAUCAIA,CE,BRASIL
DSF COMERCIO,DSF COMERCIO LTDA,39.770.497/0001-62,1149411450,CARVALHO@CARVALHOCONT.COM.BR,supplier,,,9220410,RUA ANCARA,100,APT 1108 TORRE 2,UTINGA,SANTO ANDRÉ,SP,BRASIL
DTS DISTRIBUIDORA DE SEGURANCA ELETRONICA,DTS - COMERCIO DE EQUIPAMENTOS DE SEGURANCA ELETRONICA LTDA,13.433.270/0004-80,8530332060,DTS@DTSDISTRIBUIDORA.COM.BR,supplier,,,60864310,AVENIDA DEPUTADO PAULINO ROCHA,1740,,CAJAZEIRAS,FORTALEZA,CE,BRASIL
DUCCAPEL ON LINE,DUCCAPEL COMERCIO VAREISTA DE ARMARINHOS LTDA,46.619.392/0001-72,1131152821,FINANCEIRO@LKSCONSULTORIACONTABIL.COM.BR,supplier,,,9608000,RUA UNIVERSAL,246,,ANCHIETA,SÃO BERNARDO DO CAMPO,SP,BRASIL
DUCOPRINT,DUCOPRINT DUPLICADORES COPIADORAS E IMPRESSORAS LTDA,03.876.426/0002-82,2733465325,DUCOPRINT@HOTMAIL.COM,supplier,,,29140080,AVENIDA ESPIRITO SANTO,107,SALA 01,JARDIM AMERICA,CARIACICA,ES,BRASIL
DDMAQUINAS,DUPLOR COMERCIO DE FERRAMENTAS INDUSTRIAIS E SERVICOS LTDA,10.622.178/0001-28,1535193505,SAC@DDMAQUINAS.COM.BR,supplier,,,18086390,AVENIDA VICTOR ANDREW,3210,,ZONA INDUSTRIAL,SOROCABA,SP,BRASIL
E.V.F COMERCIO DE VARIEDADES,E.V.F COMERCIO DE VARIEDADES E GESTAO LTDA,43.667.188/0001-39,1125722164,DIRETORIA@EVFCOMERCIO.COM.BR,supplier,,,3126001,RUA CAP PACHECO E CHAVES,1056,CONJ 96 ANEXO 1 VG EDIF PLAZA OFFICES,VILA PRUDENTE,SÃO PAULO,SP,BRASIL
EBAY DO BRASIL SERVICOS DE CONSULTORIA E MARKETING LTDA.,EBAY DO BRASIL SERVICOS DE CONSULTORIA E MARKETING LTDA.,19.167.111/0001-15,1131051888,WALENCAR@ASAP-DOCUMENTOS.COM.BR,supplier,,,1418000,ALAMEDA SANTOS,74,ANDAR 7 CONJ 72 SALA 41,CERQUEIRA CESAR,SÃO PAULO,SP,BRASIL
EBAZAR.COM.BR. LTDA,EBAZAR.COM.BR. LTDA,03.007.331/0010-32,1125434155,NAORESPONDER@MERCADOLIVRE.COM,supplier,,,37640000,AVENIDA JOAQUIM LOURENCO DE LIMA,450,SETOR 01,VARGEM DO JOAO PINTO,EXTREMA,MG,BRASIL
ECO SUPRIMENTOS LTDA,ECO SUPRIMENTOS LTDA,11.422.302/0001-74,3134395650,LEGALIZACAO1@MOREIRACOELHO.SRV.BR,supplier,,,31140000,RUA SILVEIRA,268,,GRACA,BELO HORIZONTE,MG,BRASIL
E-COMMERCE DIDI,E-COMMERCE DIDI LTDA,61.113.273/0001-37,1187661288,ECOMDIDI@OUTLOOK.COM,supplier,,,1137000,RUA CRUZEIRO,549,ANDAR 2 SALA 02,BARRA FUNDA,SÃO PAULO,SP,BRASIL
